timestamp,device_id,device_category,vendor,phase_count,rated_capacity_va,nominal_voltage_v,rated_battery_v,input_voltage_v,output_voltage_v,input_current_a,output_current_a,output_load_pct,input_frequency_hz,output_frequency_hz,output_power_w,bypass_flag,battery_current_a,battery_voltage_v,battery_charge_pct,runtime_remaining_min,battery_temperature_c,anomaly
2025-01-01 00:00:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,118.9,121.52,7.405,7.245,83.64,49.987,50.001,836.4,0.0,0.151,25.495,89.56,9.0,31.3,0
2025-01-01 00:05:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,119.87,118.78,6.848,6.911,77.98,50.024,50.048,779.8,0.0,0.094,25.496,89.58,9.7,31.92,0
2025-01-01 00:10:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,119.51,119.87,6.357,6.337,72.17,50.015,49.991,721.7,0.0,0.136,25.488,89.45,10.5,31.39,0
2025-01-01 00:15:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,120.81,120.88,6.784,6.781,77.87,49.974,49.974,778.7,0.0,0.132,25.485,89.39,9.7,31.32,0
2025-01-01 00:20:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,119.41,119.5,6.886,6.881,78.12,49.994,50.009,781.2,0.0,0.154,25.486,89.41,9.7,32.75,0
2025-01-01 00:25:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,119.97,121.08,6.897,6.834,78.6,50.016,50.001,786.0,0.0,0.168,25.486,89.42,9.6,31.32,0
2025-01-01 00:30:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,119.52,122.06,6.571,6.435,74.62,49.974,49.982,746.2,0.0,0.151,25.485,89.39,10.1,31.09,0
2025-01-01 00:35:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,120.11,120.25,6.844,6.836,78.09,50.031,50.003,780.9,0.0,0.127,25.483,89.37,9.7,31.28,0
2025-01-01 00:40:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,119.71,120.49,6.705,6.661,76.25,50.032,50.007,762.5,0.0,0.153,25.483,89.36,9.9,30.22,0
2025-01-01 00:45:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,120.87,120.53,6.526,6.545,74.94,50.004,50.016,749.4,0.0,0.167,25.484,89.38,10.1,31.39,0
2025-01-01 00:50:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,121.17,120.87,6.378,6.394,73.42,49.95,49.997,734.2,0.0,0.072,25.49,89.48,10.3,31.31,0
2025-01-01 00:55:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,119.46,119.92,5.932,5.91,67.32,50.012,49.98,673.2,0.0,0.113,25.49,89.47,11.2,30.4,0
2025-01-01 01:00:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,119.56,120.97,5.993,5.924,68.07,49.997,49.978,680.7,0.0,0.184,25.489,89.46,11.1,31.23,0
2025-01-01 01:05:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,117.67,121.35,6.413,6.219,71.69,49.982,50.014,716.9,0.0,0.045,25.495,89.56,10.6,30.4,0
2025-01-01 01:10:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,119.78,119.85,6.636,6.632,75.51,50.036,50.037,755.1,0.0,0.123,25.491,89.49,10.0,31.76,0
2025-01-01 01:15:00,ups_1kw_120v_a,ups,liebert,1,1000.0,120.0,24.0,118.66,121.02,6.452,6.326,72.73,50.026,50.036,727.3,0.0,0.209,25.489,89.46,10.4,31.04,0
