timestamp,device_id,vendor,device_type,interface,cpu,memory,in_octets,out_octets,errors,in_ucast_pkts,out_ucast_pkts,in_discards,out_discards,interface_speed_mbps,interface_admin_status,interface_oper_status,anomaly,anomaly_type,counter_reset
2025-01-01 00:00:00,dev_0,Dell,Switch,eth2,22.77,53.92,105595.15,104014.93,0,157,154,0,0,1000,1,1,0,normal,0
2025-01-01 00:05:00,dev_0,Dell,Switch,eth2,16.04,29.66,208978.55,201378.95,2,303,291,0,0,1000,1,1,0,normal,0
2025-01-01 00:10:00,dev_0,Dell,Switch,eth2,28.41,56.52,278951.97,259470.29,4,394,367,0,0,1000,1,1,0,normal,0
2025-01-01 00:15:00,dev_0,Dell,Switch,eth2,33.71,36.59,348757.7,340960.78,6,504,496,0,0,1000,1,1,0,normal,0
2025-01-01 00:20:00,dev_0,Dell,Switch,eth2,14.38,33.24,432097.16,449241.63,6,634,665,0,0,1000,1,1,0,normal,0
2025-01-01 00:25:00,dev_0,Dell,Switch,eth2,18.83,57.88,507414.82,518955.91,8,713,738,0,0,1000,1,1,0,normal,0
2025-01-01 00:30:00,dev_0,Dell,Switch,eth2,16.06,43.42,621628.04,600078.23,8,869,848,1,0,1000,1,1,0,normal,0
2025-01-01 00:35:00,dev_0,Dell,Switch,eth2,34.47,46.19,717628.52,724069.42,8,1010,1030,1,0,1000,1,1,0,normal,0
2025-01-01 00:40:00,dev_0,Dell,Switch,eth2,22.7,46.97,840509.72,817500.77,8,1153,1139,1,0,1000,1,1,0,normal,0
2025-01-01 00:45:00,dev_0,Dell,Switch,eth2,28.0,22.62,948825.0,909577.64,9,1325,1285,1,0,1000,1,1,0,normal,0
2025-01-01 00:50:00,dev_0,Dell,Switch,eth2,29.61,59.98,1059209.0,1001875.71,11,1461,1399,1,0,1000,1,1,0,normal,0
2025-01-01 00:55:00,dev_0,Dell,Switch,eth2,33.45,34.34,1174372.23,1115295.83,11,1613,1548,1,0,1000,1,1,0,normal,0
2025-01-01 01:00:00,dev_0,Dell,Switch,eth2,42.58,58.62,1275696.98,1219379.78,11,1726,1664,1,0,1000,1,1,0,normal,0
2025-01-01 01:05:00,dev_0,Dell,Switch,eth2,28.96,19.43,1372302.32,1318822.75,11,1881,1824,1,0,1000,1,1,0,normal,0
2025-01-01 01:10:00,dev_0,Dell,Switch,eth2,19.07,44.84,1489367.74,1401598.82,11,2036,1934,1,0,1000,1,1,0,normal,0
2025-01-01 01:15:00,dev_0,Dell,Switch,eth2,19.13,36.95,1633921.71,1534541.71,11,2193,2078,1,0,1000,1,1,0,normal,0
2025-01-01 01:20:00,dev_0,Dell,Switch,eth2,31.54,38.04,1757723.89,1639836.75,12,2398,2252,1,0,1000,1,1,0,normal,0
2025-01-01 01:25:00,dev_0,Dell,Switch,eth2,24.72,56.91,1902101.29,1753217.52,13,2592,2404,2,0,1000,1,1,0,normal,0
2025-01-01 01:30:00,dev_0,Dell,Switch,eth2,14.75,36.98,2051502.0,1876407.46,14,2791,2568,2,0,1000,1,1,0,normal,0
2025-01-01 01:35:00,dev_0,Dell,Switch,eth2,24.72,51.12,2190812.91,1978211.81,14,2971,2700,2,0,1000,1,1,0,normal,0
2025-01-01 01:40:00,dev_0,Dell,Switch,eth2,24.39,47.2,2295984.32,2073770.19,15,3139,2853,2,0,1000,1,1,0,normal,0
2025-01-01 01:45:00,dev_0,Dell,Switch,eth2,29.87,42.87,2399450.44,2155052.19,16,3261,2949,2,0,1000,1,1,0,normal,0
2025-01-01 01:50:00,dev_0,Dell,Switch,eth2,25.23,35.38,2528024.48,2244645.35,17,3420,3060,2,0,1000,1,1,0,normal,0
2025-01-01 01:55:00,dev_0,Dell,Switch,eth2,36.35,60.09,2627017.21,2346466.81,17,3549,3193,2,0,1000,1,1,0,normal,0
2025-01-01 02:00:00,dev_0,Dell,Switch,eth2,9.88,42.94,2765469.77,2439833.31,18,3722,3309,2,0,1000,1,1,0,normal,0
2025-01-01 02:05:00,dev_0,Dell,Switch,eth2,33.04,60.2,2905595.01,2551515.98,18,3912,3461,2,0,1000,1,1,0,normal,0
2025-01-01 02:10:00,dev_0,Dell,Switch,eth2,25.34,58.31,3033926.08,2679657.07,19,4058,3607,2,0,1000,1,1,0,normal,0
2025-01-01 02:15:00,dev_0,Dell,Switch,eth2,30.26,45.2,3160672.25,2771417.49,21,4233,3734,2,0,1000,1,1,0,normal,0
2025-01-01 02:20:00,dev_0,Dell,Switch,eth2,22.76,62.02,3278464.54,2877831.82,23,4370,3857,2,0,1000,1,1,0,normal,0
2025-01-01 02:25:00,dev_0,Dell,Switch,eth2,26.04,53.73,3398345.58,3017756.95,23,4530,4044,2,0,1000,1,1,0,normal,0
2025-01-01 02:30:00,dev_0,Dell,Switch,eth2,33.74,42.73,3519414.18,3126834.58,24,4682,4181,2,0,1000,1,1,0,normal,0
2025-01-01 02:35:00,dev_0,Dell,Switch,eth2,30.94,43.95,3654383.12,3226742.93,26,4847,4303,2,0,1000,1,1,0,normal,0
2025-01-01 02:40:00,dev_0,Dell,Switch,eth2,32.52,57.49,3762820.9,3369494.29,27,4988,4489,2,0,1000,1,1,0,normal,0
2025-01-01 02:45:00,dev_0,Dell,Switch,eth2,32.19,31.43,3901024.21,3483088.44,28,5198,4662,2,0,1000,1,1,0,normal,0
2025-01-01 02:50:00,dev_0,Dell,Switch,eth2,23.6,36.97,4053638.13,3609306.02,28,5406,4834,2,0,1000,1,1,0,normal,0
2025-01-01 02:55:00,dev_0,Dell,Switch,eth2,36.16,42.13,4154380.22,3735360.35,32,5531,4990,2,0,1000,1,1,0,normal,0
2025-01-01 03:00:00,dev_0,Dell,Switch,eth2,23.66,34.41,4272768.7,3841077.32,32,5657,5102,2,0,1000,1,1,0,normal,0
2025-01-01 03:05:00,dev_0,Dell,Switch,eth2,33.43,40.91,4411214.29,3959914.76,32,5831,5251,2,0,1000,1,1,0,normal,0
2025-01-01 03:10:00,dev_0,Dell,Switch,eth2,45.87,44.25,4517051.25,4102535.72,99,5958,5423,8,27,1000,1,1,1,error_burst,0
2025-01-01 03:15:00,dev_0,Dell,Switch,eth2,18.01,50.74,4639740.79,4206577.46,100,6104,5546,8,27,1000,1,1,0,normal,0
2025-01-01 03:20:00,dev_0,Dell,Switch,eth2,24.61,46.13,4754696.42,4306141.26,100,6258,5679,8,27,1000,1,1,0,normal,0
2025-01-01 03:25:00,dev_0,Dell,Switch,eth2,79.61,36.67,4894979.34,4401413.64,101,6447,5807,8,27,1000,1,1,1,cpu_spike,0
2025-01-01 03:30:00,dev_0,Dell,Switch,eth2,28.47,29.46,5029446.17,4524268.09,102,6634,5978,9,27,1000,1,1,0,normal,0
2025-01-01 03:35:00,dev_0,Dell,Switch,eth2,21.79,43.78,5152755.75,4640671.31,105,6796,6131,9,27,1000,1,1,0,normal,0
2025-01-01 03:40:00,dev_0,Dell,Switch,eth2,27.19,69.04,5303902.39,4756968.47,106,6988,6278,9,27,1000,1,1,0,normal,0
2025-01-01 03:45:00,dev_0,Dell,Switch,eth2,48.8,35.09,5482904.76,4901559.29,108,7250,6490,9,27,1000,1,1,0,normal,0
2025-01-01 03:50:00,dev_0,Dell,Switch,eth2,30.39,55.07,5638646.44,5033237.62,112,7469,6675,9,27,1000,1,1,0,normal,0
2025-01-01 03:55:00,dev_0,Dell,Switch,eth2,30.18,40.42,5769063.41,5153758.46,113,7654,6846,9,27,1000,1,1,0,normal,0
2025-01-01 04:00:00,dev_0,Dell,Switch,eth2,31.05,51.8,5903848.43,5310903.31,114,7806,7023,10,27,1000,1,1,0,normal,0
2025-01-01 04:05:00,dev_0,Dell,Switch,eth2,33.78,44.51,6042525.24,5424634.41,116,7981,7166,10,27,1000,1,1,0,normal,0
2025-01-01 04:10:00,dev_0,Dell,Switch,eth2,39.13,47.01,6197854.37,5543309.04,116,8211,7342,10,27,1000,1,1,0,normal,0
2025-01-01 04:15:00,dev_0,Dell,Switch,eth2,21.23,45.59,6362203.18,5713013.8,116,8402,7540,11,27,1000,1,1,0,normal,0
2025-01-01 04:20:00,dev_0,Dell,Switch,eth2,26.82,41.42,6502827.14,5859237.2,117,8573,7718,11,27,1000,1,1,0,normal,0
2025-01-01 04:25:00,dev_0,Dell,Switch,eth2,34.92,31.17,6647155.29,5990685.11,118,8757,7886,11,27,1000,1,1,0,normal,0
2025-01-01 04:30:00,dev_0,Dell,Switch,eth2,15.66,46.52,6783228.51,6126479.92,119,8909,8038,11,27,1000,1,1,0,normal,0
2025-01-01 04:35:00,dev_0,Dell,Switch,eth2,30.14,39.66,6932699.69,6258349.25,120,9068,8178,11,27,1000,1,1,0,normal,0
2025-01-01 04:40:00,dev_0,Dell,Switch,eth2,32.2,39.18,7092802.57,6409415.79,120,9365,8459,11,27,1000,1,1,0,normal,0
2025-01-01 04:45:00,dev_0,Dell,Switch,eth2,27.62,46.11,7218642.01,6537265.73,122,9528,8625,11,27,1000,1,1,0,normal,0
2025-01-01 04:50:00,dev_0,Dell,Switch,eth2,35.26,59.32,7379756.65,6709145.04,124,9754,8866,11,27,1000,1,1,0,normal,0
2025-01-01 04:55:00,dev_0,Dell,Switch,eth2,34.14,35.57,7535760.8,6838205.82,128,9962,9038,11,27,1000,1,1,0,normal,0
2025-01-01 05:00:00,dev_0,Dell,Switch,eth2,33.19,56.43,7718838.39,6979058.62,130,10194,9217,11,27,1000,1,1,0,normal,0
2025-01-01 05:05:00,dev_0,Dell,Switch,eth2,14.13,31.75,7874656.37,7087150.65,131,10432,9382,11,27,1000,1,1,0,normal,0
2025-01-01 05:10:00,dev_0,Dell,Switch,eth2,29.22,61.24,8026552.69,7236989.94,131,10614,9561,11,27,1000,1,1,0,normal,0
2025-01-01 05:15:00,dev_0,Dell,Switch,eth2,21.01,35.94,8176157.44,7349200.27,131,10787,9691,11,27,1000,1,1,0,normal,0
2025-01-01 05:20:00,dev_0,Dell,Switch,eth2,27.06,53.51,8337240.55,7504571.27,131,11007,9904,11,27,1000,1,1,0,normal,0
2025-01-01 05:25:00,dev_0,Dell,Switch,eth2,24.68,37.68,8477064.52,7640355.55,133,11197,10089,11,27,1000,1,1,0,normal,0
2025-01-01 05:30:00,dev_0,Dell,Switch,eth2,0.0,44.22,8627779.22,7745381.55,134,11387,10221,11,27,1000,1,1,0,normal,0
2025-01-01 05:35:00,dev_0,Dell,Switch,eth2,36.23,49.63,8804450.94,7885877.53,135,11579,10374,11,27,1000,1,1,0,normal,0
2025-01-01 05:40:00,dev_0,Dell,Switch,eth2,22.81,45.87,8941421.24,8044875.77,135,11776,10603,11,27,1000,1,1,0,normal,0
2025-01-01 05:45:00,dev_0,Dell,Switch,eth2,27.71,47.69,9087412.99,8195174.58,137,11945,10777,11,27,1000,1,1,0,normal,0
2025-01-01 05:50:00,dev_0,Dell,Switch,eth2,19.56,46.98,9266342.28,8328672.13,139,12205,10971,11,27,1000,1,1,0,normal,0
2025-01-01 05:55:00,dev_0,Dell,Switch,eth2,24.66,56.06,9445314.99,8455470.91,140,12517,11192,11,27,1000,1,1,0,normal,0
2025-01-01 06:00:00,dev_0,Dell,Switch,eth2,34.0,17.72,9593206.52,8603931.77,141,12726,11402,11,27,1000,1,1,0,normal,0
2025-01-01 06:05:00,dev_0,Dell,Switch,eth2,29.81,21.57,9768903.31,8741951.14,142,12975,11598,11,27,1000,1,1,0,normal,0
2025-01-01 06:10:00,dev_0,Dell,Switch,eth2,25.29,66.87,9907207.66,8870066.5,144,13155,11764,11,27,1000,1,1,0,normal,0
2025-01-01 06:15:00,dev_0,Dell,Switch,eth2,30.3,46.46,10052661.74,8973560.07,145,13363,11912,11,27,1000,1,1,0,normal,0
2025-01-01 06:20:00,dev_0,Dell,Switch,eth2,34.63,60.18,10188468.48,9086578.7,149,13548,12066,11,27,1000,1,1,0,normal,0
2025-01-01 06:25:00,dev_0,Dell,Switch,eth2,25.39,49.94,10315625.49,9212811.62,151,13708,12225,11,27,1000,1,1,0,normal,0
2025-01-01 06:30:00,dev_0,Dell,Switch,eth2,33.0,47.37,10452425.99,9318817.24,152,13869,12350,11,27,1000,1,1,0,normal,0
2025-01-01 06:35:00,dev_0,Dell,Switch,eth2,20.53,75.82,10612941.05,9425596.77,153,14074,12486,11,27,1000,1,1,0,normal,0
2025-01-01 06:40:00,dev_0,Dell,Switch,eth2,35.79,36.12,10795550.02,9571273.69,154,14312,12676,11,27,1000,1,1,0,normal,0
2025-01-01 06:45:00,dev_0,Dell,Switch,eth2,30.39,55.58,10979257.12,9705717.87,155,14524,12831,11,27,1000,1,1,0,normal,0
2025-01-01 06:50:00,dev_0,Dell,Switch,eth2,27.35,51.77,11119185.4,9826962.56,155,14733,13012,11,27,1000,1,1,0,normal,0
2025-01-01 06:55:00,dev_0,Dell,Switch,eth2,26.13,44.16,11250516.02,9968706.66,156,14916,13210,11,27,1000,1,1,0,normal,0
2025-01-01 07:00:00,dev_0,Dell,Switch,eth2,25.27,38.55,11385311.3,10091765.12,157,15081,13360,11,27,1000,1,1,0,normal,0
2025-01-01 07:05:00,dev_0,Dell,Switch,eth2,23.0,54.49,11521790.31,10246104.73,159,15267,13570,11,27,1000,1,1,0,normal,0
2025-01-01 07:10:00,dev_0,Dell,Switch,eth2,35.93,44.14,11639766.27,10348363.08,160,15411,13695,11,27,1000,1,1,0,normal,0
2025-01-01 07:15:00,dev_0,Dell,Switch,eth2,19.24,36.41,11761911.81,10491639.03,160,15624,13945,11,27,1000,1,1,0,normal,0
2025-01-01 07:20:00,dev_0,Dell,Switch,eth2,30.69,45.96,11930291.63,10636005.98,160,15900,14181,11,27,1000,1,1,0,normal,0
2025-01-01 07:25:00,dev_0,Dell,Switch,eth2,30.29,49.92,12080903.38,10753631.41,164,16080,14322,11,27,1000,1,1,0,normal,0
2025-01-01 07:30:00,dev_0,Dell,Switch,eth2,30.61,34.0,12242752.78,10866083.01,164,16271,14455,11,27,1000,1,1,0,normal,0
2025-01-01 07:35:00,dev_0,Dell,Switch,eth2,27.44,51.12,12396721.8,10999317.78,165,16491,14645,11,27,1000,1,1,0,normal,0
2025-01-01 07:40:00,dev_0,Dell,Switch,eth2,29.57,45.9,12567684.56,11157113.64,167,16733,14869,11,27,1000,1,1,0,normal,0
2025-01-01 07:45:00,dev_0,Dell,Switch,eth2,30.64,23.88,12734299.21,11291898.21,168,16924,15024,11,27,1000,1,1,0,normal,0
2025-01-01 07:50:00,dev_0,Dell,Switch,eth2,20.98,40.93,12875181.78,11442333.45,168,17081,15192,11,27,1000,1,1,0,normal,0
2025-01-01 07:55:00,dev_0,Dell,Switch,eth2,30.34,47.65,13003558.02,11592372.74,168,17246,15385,11,27,1000,1,1,0,normal,0
2025-01-01 08:00:00,dev_0,Dell,Switch,eth2,34.98,45.99,13139090.92,11748339.46,169,17404,15567,11,27,1000,1,1,0,normal,0
2025-01-01 08:05:00,dev_0,Dell,Switch,eth2,28.93,44.28,13281298.35,11879614.77,170,17602,15750,11,27,1000,1,1,0,normal,0
2025-01-01 08:10:00,dev_0,Dell,Switch,eth2,19.96,63.11,13407752.88,11990984.3,170,17775,15902,11,27,1000,1,1,0,normal,0
2025-01-01 08:15:00,dev_0,Dell,Switch,eth2,32.53,39.8,13522995.17,12125211.65,170,17917,16067,11,27,1000,1,1,0,normal,0
2025-01-01 08:20:00,dev_0,Dell,Switch,eth2,20.39,61.77,13657538.83,12256709.68,171,18090,16236,11,27,1000,1,1,0,normal,0
2025-01-01 08:25:00,dev_0,Dell,Switch,eth2,31.88,42.91,13795440.91,12377886.89,171,18304,16424,11,27,1000,1,1,0,normal,0
