device_id,device_window_index,window_start,window_end,source_anomaly_label,sequence_length,reconstruction_error,threshold,error_margin,predicted_anomaly,top_error_feature,top_error_timestep_offset,feature_error_cpu,feature_error_memory,feature_error_in_octets,feature_error_out_octets,feature_error_errors,detection_basis
dev_0,0,2025-01-01 00:00:00,2025-01-01 00:45:00,0,10,0.010059428,0.016955720726400614,-0.006896292325109243,0,errors,7,0.008549636,0.008002365,0.008224744,0.009834473,0.015685923,error 0.010059 stayed below threshold 0.016956; highest contribution from errors at window step 7
dev_0,1,2025-01-01 00:05:00,2025-01-01 00:50:00,0,10,0.009598746,0.016955720726400614,-0.007356974761933088,0,errors,6,0.0055709872,0.009900938,0.009048049,0.01015276,0.013320997,error 0.009599 stayed below threshold 0.016956; highest contribution from errors at window step 6
dev_0,2,2025-01-01 00:10:00,2025-01-01 00:55:00,0,10,0.009755163,0.016955720726400614,-0.0072005572728812695,0,errors,5,0.00430681,0.012236054,0.009115224,0.010246147,0.012871588,error 0.009755 stayed below threshold 0.016956; highest contribution from errors at window step 5
dev_0,3,2025-01-01 00:15:00,2025-01-01 01:00:00,0,10,0.00998686,0.016955720726400614,-0.0069688609801232815,0,errors,4,0.0043743504,0.013734671,0.007999466,0.008390682,0.015435129,error 0.009987 stayed below threshold 0.016956; highest contribution from errors at window step 4
dev_0,4,2025-01-01 00:20:00,2025-01-01 01:05:00,0,10,0.009719788,0.016955720726400614,-0.007235932629555464,0,memory,3,0.006085102,0.016110929,0.007250118,0.005276731,0.013876063,error 0.009720 stayed below threshold 0.016956; highest contribution from memory at window step 3
dev_0,5,2025-01-01 00:25:00,2025-01-01 01:10:00,0,10,0.009269583,0.016955720726400614,-0.007686137687414885,0,errors,2,0.005686686,0.012932184,0.006543773,0.0069684507,0.01421682,error 0.009270 stayed below threshold 0.016956; highest contribution from errors at window step 2
dev_0,6,2025-01-01 00:30:00,2025-01-01 01:15:00,0,10,0.011769252,0.016955720726400614,-0.005186468828469515,0,memory,1,0.0024445704,0.024865445,0.006733399,0.010381246,0.014421603,error 0.011769 stayed below threshold 0.016956; highest contribution from memory at window step 1
dev_0,7,2025-01-01 00:35:00,2025-01-01 01:20:00,0,10,0.010057453,0.016955720726400614,-0.006898267660290003,0,memory,8,0.008999136,0.018516678,0.006175551,0.011026459,0.005569439,error 0.010057 stayed below threshold 0.016956; highest contribution from memory at window step 8
dev_0,8,2025-01-01 00:40:00,2025-01-01 01:25:00,0,10,0.011053369,0.016955720726400614,-0.0059023513458669186,0,memory,6,0.006553943,0.030529996,0.0034098227,0.0073789814,0.0073941043,error 0.011053 stayed below threshold 0.016956; highest contribution from memory at window step 6
dev_0,9,2025-01-01 00:45:00,2025-01-01 01:30:00,0,10,0.008943517,0.016955720726400614,-0.008012203965336084,0,memory,8,0.0046124114,0.027349442,0.0035087788,0.00688889,0.0023580652,error 0.008944 stayed below threshold 0.016956; highest contribution from memory at window step 8
