timestamp,device_id,vendor,device_type,interface,cpu,memory,in_octets,out_octets,errors,anomaly
2025-01-01 00:00:00,dev_0,Fortigate,Router,eth1,22.12,28.37,46365.51,33554.3,0,0
2025-01-01 00:05:00,dev_0,Fortigate,Router,eth1,34.41,54.4,41326.33,33166.15,0,0
2025-01-01 00:10:00,dev_0,Fortigate,Router,eth1,45.0,72.09,54751.28,56288.1,0,0
2025-01-01 00:15:00,dev_0,Fortigate,Router,eth1,40.0,72.56,56926.5,57463.62,0,0
2025-01-01 00:20:00,dev_0,Fortigate,Router,eth1,41.96,54.82,31225.05,40398.22,1,0
2025-01-01 00:25:00,dev_0,Fortigate,Router,eth1,50.81,32.15,55206.11,46112.97,3,0
2025-01-01 00:30:00,dev_0,Fortigate,Router,eth1,33.72,62.42,42917.81,41553.98,3,0
2025-01-01 00:35:00,dev_0,Fortigate,Router,eth1,36.45,40.57,31570.13,32126.61,0,0
2025-01-01 00:40:00,dev_0,Fortigate,Router,eth1,47.46,64.96,52035.24,52325.03,0,0
2025-01-01 00:45:00,dev_0,Fortigate,Router,eth1,35.34,86.49,56804.12,60189.38,2,0
2025-01-01 00:50:00,dev_0,Fortigate,Router,eth1,44.39,54.8,57116.99,46563.5,1,0
2025-01-01 00:55:00,dev_0,Fortigate,Router,eth1,39.89,59.39,59854.32,62038.86,1,0
2025-01-01 01:00:00,dev_0,Fortigate,Router,eth1,47.26,48.02,67001.74,64699.24,1,0
2025-01-01 01:05:00,dev_0,Fortigate,Router,eth1,48.81,74.79,47581.18,64662.52,0,0
2025-01-01 01:10:00,dev_0,Fortigate,Router,eth1,51.41,93.2,54321.57,54200.78,1,0
2025-01-01 01:15:00,dev_0,Fortigate,Router,eth1,48.42,40.65,47727.87,40201.27,2,0
2025-01-01 01:20:00,dev_0,Fortigate,Router,eth1,30.45,37.73,61241.08,43490.43,1,0
2025-01-01 01:25:00,dev_0,Fortigate,Router,eth1,29.56,81.0,58781.08,59283.27,1,0
2025-01-01 01:30:00,dev_0,Fortigate,Router,eth1,37.18,43.14,51208.8,44987.76,0,0
